query,tool,result,players,note,canonical_x_rows,canonical_directional_rating,canonical_speed_specific_physical,canonical_general_context
(怪我後 OR 手術後 OR 復帰後) 走力 (パワプロ OR プロスピ OR 査定),x_keyword_search,,,,,,,
昔は速かった (パワプロ OR プロスピ) (走力 OR 足),x_keyword_search,,,,,,,
走力 (高すぎ OR 下げろ OR まだA OR まだB) (パワプロ OR プロスピ) (ベテラン OR 歳 OR 衰え),x_keyword_search,,,,,,,
柳田悠岐 走力 パワプロ 査定 落ち OR 衰え -youtube,web_search,,,,,,,
秋山翔吾 OR 塩見泰隆 OR 丸佳浩 OR 大島洋平 走力 パワプロ 査定 -youtube,web_search,,,,,,,
柳田 (優遇 OR 高すぎ OR おかしい OR まだA) 走力 (プロスピ OR パワプロ),x_keyword_search,,,,,,,
(塩見泰隆 OR 塩見) (怪我 OR 手術 OR 復帰) (走力 OR 足 OR パワプロ OR プロスピ),x_keyword_search,,,,,,,
(清宮幸太郎 OR 正木智也 OR 西野真弘 OR 岸田行倫 OR 山口航輝) (走力 OR 足遅 OR 俊足) (パワプロ OR プロスピ),x_keyword_search,,,,,,,
(坂本勇人 OR 中村剛也 OR おかわり OR 中島宏之) 走力 (パワプロ OR プロスピ) (まだ OR 落ち OR 衰え OR 据え置き),x_keyword_search,,,,,,,
今宮健太 パワプロ 走力,x_keyword_search,,,,,,,
(菊池涼介 OR 山川穂高 OR 筒香) 走力 (落ち OR 衰え OR 高すぎ OR まだ),x_keyword_search,,,,,,,
塩見泰隆 怪我後に足が落ちた 走力査定が古いまま パワプロ プロスピ,x_semantic_search,,,,,,,
柳田悠岐のプロスピ走力が高すぎる 優遇査定 全盛期のイメージ,x_semantic_search,,,,,,,
塩見泰隆 走力 パワプロ OR プロスピ 査定 怪我,web_search,,,,,,,
今宮健太 OR 細川成也 OR 長岡秀樹 OR 清宮幸太郎 走力 パワプロ 査定,web_search,,,,,,,
https://pawapuro-lab.com/entry/evaluation_running,web_fetch,,,,,,,
柳田悠岐 パワプロ 走力 推移 74 72 70,web_search,,,,,,,
清宮幸太郎 走力 (パワプロ OR プロスピ OR 査定),x_keyword_search,,,,,,,
https://game8.jp/pawapuro2026-2027/788847,web_fetch,,,,,,,
https://dnomotoke.com/archives/20250729010027/,web_fetch,,,,,,,
正木智也 走力,x_keyword_search,,,,,,,
西野真弘 (走力 OR パワプロ OR プロスピ),x_keyword_search,,,,,,,
(岸田行倫 OR 山口航輝 OR 野村佑希 OR 郡司裕也) 走力 (パワプロ OR プロスピ OR 遅い OR 速い),x_keyword_search,,,,,,,
塩見 走力 (落ち OR 遅く OR A OR パワプロ),x_keyword_search,,,,,,,
(大島洋平 OR 丸佳浩 OR 今宮 OR 山川) パワプロ 走力,x_keyword_search,,,,,,,
(菊池涼介 OR 秋山翔吾 OR 大島洋平) パワプロ 走力,x_keyword_search,,,,,,,
パワプロ2026 大島洋平 走力 能力,web_search,,,,,,,
パワプロ2026 柳田悠岐 走力 能力 査定,web_search,,,,,,,
パワプロ2026 秋山翔吾 OR 丸佳浩 OR 今宮健太 OR 菊池涼介 OR 山川穂高 走力 site:game8.jp,web_search,,,,,,,
https://game8.jp/pawapuro2026-2027/788903,web_fetch,,,,,,,
site:game8.jp/pawapuro2026-2027 秋山翔吾 走力,web_search,,,,,,,
site:game8.jp/pawapuro2026-2027 (丸佳浩 OR 今宮健太 OR 菊池涼介 OR 細川成也 OR 岸田行倫) 走力,web_search,,,,,,,
https://game8.jp/pawapuro2026-2027/788870,open_page_with_find,,,,,,,
https://game8.jp/pawapuro2026-2027/789185,open_page_with_find,,,,,,,
https://game8.jp/pawapuro2026-2027/788894,open_page_with_find,,,,,,,
https://game8.jp/pawapuro2026-2027/788857,open_page_with_find,,,,,,,
site:game8.jp/pawapuro2026-2027 今宮健太 走力,web_search,,,,,,,
site:game8.jp/pawapuro2026-2027 菊池涼介 走力,web_search,,,,,,,
site:game8.jp/pawapuro2026-2027/ 今宮健太,web_search,,,,,,,
プロスピ 公式 / プロ野球スピリッツ 公式 / プロスピ2025 公式,,,,,,,,
player_coverage:中川 圭太,aggregate,HIT,中川 圭太,canonical_x_rows=6;directional_rating=4;speed_specific_physical=2;general_context=0,6,4,2,0
player_coverage:太田 椋,aggregate,HIT,太田 椋,canonical_x_rows=4;directional_rating=2;speed_specific_physical=1;general_context=0,4,2,1,0
player_coverage:宗 佑磨,aggregate,HIT,宗 佑磨,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:来田 涼斗,aggregate,HIT,来田 涼斗,canonical_x_rows=1;directional_rating=0;speed_specific_physical=1;general_context=0,1,0,1,0
player_coverage:森 友哉,aggregate,HIT,森 友哉,canonical_x_rows=6;directional_rating=5;speed_specific_physical=0;general_context=0,6,5,0,0
player_coverage:紅林 弘太郎,aggregate,HIT,紅林 弘太郎,canonical_x_rows=2;directional_rating=0;speed_specific_physical=0;general_context=0,2,0,0,0
player_coverage:若月 健矢,aggregate,SEARCHED_NO_HIT,若月 健矢,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:西川 龍馬,aggregate,HIT,西川 龍馬,canonical_x_rows=3;directional_rating=2;speed_specific_physical=0;general_context=0,3,2,0,0
player_coverage:西野 真弘,aggregate,HIT,西野 真弘,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:カリステ,aggregate,HIT,カリステ,canonical_x_rows=9;directional_rating=9;speed_specific_physical=2;general_context=0,9,9,2,0
player_coverage:土田 龍空,aggregate,SEARCHED_NO_HIT,土田 龍空,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:大島 洋平,aggregate,HIT,大島 洋平,canonical_x_rows=4;directional_rating=3;speed_specific_physical=0;general_context=4,4,3,0,4
player_coverage:岡林 勇希,aggregate,HIT,岡林 勇希,canonical_x_rows=1;directional_rating=0;speed_specific_physical=0;general_context=0,1,0,0,0
player_coverage:木下 拓哉,aggregate,HIT,木下 拓哉,canonical_x_rows=2;directional_rating=2;speed_specific_physical=0;general_context=0,2,2,0,0
player_coverage:村松 開人,aggregate,HIT,村松 開人,canonical_x_rows=1;directional_rating=0;speed_specific_physical=0;general_context=0,1,0,0,0
player_coverage:板山 祐太郎,aggregate,SEARCHED_NO_HIT,板山 祐太郎,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:田中 幹也,aggregate,HIT,田中 幹也,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:石川 昂弥,aggregate,SEARCHED_NO_HIT,石川 昂弥,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:福永 裕基,aggregate,SEARCHED_NO_HIT,福永 裕基,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:細川 成也,aggregate,HIT,細川 成也,canonical_x_rows=2;directional_rating=1;speed_specific_physical=0;general_context=0,2,1,0,0
player_coverage:高橋 周平,aggregate,HIT,高橋 周平,canonical_x_rows=3;directional_rating=3;speed_specific_physical=0;general_context=0,3,3,0,0
player_coverage:奈良間 大己,aggregate,HIT,奈良間 大己,canonical_x_rows=1;directional_rating=0;speed_specific_physical=1;general_context=0,1,0,1,0
player_coverage:水野 達稀,aggregate,HIT,水野 達稀,canonical_x_rows=3;directional_rating=2;speed_specific_physical=0;general_context=0,3,2,0,0
player_coverage:清宮 幸太郎,aggregate,HIT,清宮 幸太郎,canonical_x_rows=2;directional_rating=1;speed_specific_physical=0;general_context=0,2,1,0,0
player_coverage:田宮 裕涼,aggregate,HIT,田宮 裕涼,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:郡司 裕也,aggregate,HIT,郡司 裕也,canonical_x_rows=2;directional_rating=1;speed_specific_physical=0;general_context=0,2,1,0,0
player_coverage:野村 佑希,aggregate,SEARCHED_NO_HIT,野村 佑希,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:ソト,aggregate,HIT,ソト,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:ポランコ,aggregate,HIT,ポランコ,canonical_x_rows=4;directional_rating=4;speed_specific_physical=0;general_context=0,4,4,0,0
player_coverage:佐藤 都志也,aggregate,HIT,佐藤 都志也,canonical_x_rows=4;directional_rating=3;speed_specific_physical=0;general_context=0,4,3,0,0
player_coverage:友杉 篤輝,aggregate,HIT,友杉 篤輝,canonical_x_rows=1;directional_rating=0;speed_specific_physical=1;general_context=0,1,0,1,0
player_coverage:安田 尚憲,aggregate,HIT,安田 尚憲,canonical_x_rows=3;directional_rating=3;speed_specific_physical=0;general_context=0,3,3,0,0
player_coverage:小川 龍成,aggregate,HIT,小川 龍成,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:山口 航輝,aggregate,HIT,山口 航輝,canonical_x_rows=1;directional_rating=0;speed_specific_physical=1;general_context=0,1,0,1,0
player_coverage:岡 大海,aggregate,HIT,岡 大海,canonical_x_rows=3;directional_rating=3;speed_specific_physical=0;general_context=0,3,3,0,0
player_coverage:藤原 恭大,aggregate,HIT,藤原 恭大,canonical_x_rows=4;directional_rating=3;speed_specific_physical=0;general_context=0,4,3,0,0
player_coverage:藤岡 裕大,aggregate,HIT,藤岡 裕大,canonical_x_rows=2;directional_rating=2;speed_specific_physical=0;general_context=0,2,2,0,0
player_coverage:髙部 瑛斗,aggregate,HIT,髙部 瑛斗,canonical_x_rows=2;directional_rating=2;speed_specific_physical=0;general_context=0,2,2,0,0
player_coverage:古賀 悠斗,aggregate,HIT,古賀 悠斗,canonical_x_rows=2;directional_rating=0;speed_specific_physical=1;general_context=0,2,0,1,0
player_coverage:外崎 修汰,aggregate,HIT,外崎 修汰,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:源田 壮亮,aggregate,HIT,源田 壮亮,canonical_x_rows=2;directional_rating=2;speed_specific_physical=0;general_context=0,2,2,0,0
player_coverage:滝澤 夏央,aggregate,HIT,滝澤 夏央,canonical_x_rows=3;directional_rating=3;speed_specific_physical=0;general_context=0,3,3,0,0
player_coverage:石井 一成,aggregate,HIT,石井 一成,canonical_x_rows=2;directional_rating=2;speed_specific_physical=0;general_context=0,2,2,0,0
player_coverage:ファビアン,aggregate,SEARCHED_NO_HIT,ファビアン,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:モンテロ,aggregate,SEARCHED_NO_HIT,モンテロ,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:名原 典彦,aggregate,SEARCHED_NO_HIT,名原 典彦,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:坂倉 将吾,aggregate,SEARCHED_NO_HIT,坂倉 将吾,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:小園 海斗,aggregate,SEARCHED_NO_HIT,小園 海斗,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:矢野 雅哉,aggregate,HIT,矢野 雅哉,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:秋山 翔吾,aggregate,HIT,秋山 翔吾,canonical_x_rows=2;directional_rating=2;speed_specific_physical=0;general_context=1,2,2,0,1
player_coverage:菊池 涼介,aggregate,HIT,菊池 涼介,canonical_x_rows=1;directional_rating=0;speed_specific_physical=0;general_context=0,1,0,0,0
player_coverage:野間 峻祥,aggregate,HIT,野間 峻祥,canonical_x_rows=2;directional_rating=2;speed_specific_physical=0;general_context=0,2,2,0,0
player_coverage:サンタナ,aggregate,SEARCHED_NO_HIT,サンタナ,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:並木 秀尊,aggregate,HIT,並木 秀尊,canonical_x_rows=2;directional_rating=2;speed_specific_physical=1;general_context=0,2,2,1,0
player_coverage:中村 悠平,aggregate,HIT,中村 悠平,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:丸山 和郁,aggregate,HIT,丸山 和郁,canonical_x_rows=2;directional_rating=1;speed_specific_physical=1;general_context=0,2,1,1,0
player_coverage:古賀 優大,aggregate,HIT,古賀 優大,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:塩見 泰隆,aggregate,HIT,塩見 泰隆,canonical_x_rows=11;directional_rating=2;speed_specific_physical=4;general_context=3,11,2,4,3
player_coverage:岩田 幸宏,aggregate,HIT,岩田 幸宏,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:長岡 秀樹,aggregate,HIT,長岡 秀樹,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:太田 光,aggregate,HIT,太田 光,canonical_x_rows=2;directional_rating=0;speed_specific_physical=0;general_context=0,2,0,0,0
player_coverage:村林 一輝,aggregate,HIT,村林 一輝,canonical_x_rows=2;directional_rating=1;speed_specific_physical=0;general_context=0,2,1,0,0
player_coverage:浅村 栄斗,aggregate,HIT,浅村 栄斗,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:渡邊 佳明,aggregate,HIT,渡邊 佳明,canonical_x_rows=1;directional_rating=0;speed_specific_physical=0;general_context=0,1,0,0,0
player_coverage:鈴木 大地,aggregate,HIT,鈴木 大地,canonical_x_rows=2;directional_rating=2;speed_specific_physical=0;general_context=0,2,2,0,0
player_coverage:京田 陽太,aggregate,SEARCHED_NO_HIT,京田 陽太,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:佐野 恵太,aggregate,SEARCHED_NO_HIT,佐野 恵太,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:宮﨑 敏郎,aggregate,HIT,宮﨑 敏郎,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:山本 祐大,aggregate,SEARCHED_NO_HIT,山本 祐大,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:度会 隆輝,aggregate,SEARCHED_NO_HIT,度会 隆輝,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:林 琢真,aggregate,SEARCHED_NO_HIT,林 琢真,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:梶原 昂希,aggregate,SEARCHED_NO_HIT,梶原 昂希,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:牧 秀悟,aggregate,HIT,牧 秀悟,canonical_x_rows=3;directional_rating=0;speed_specific_physical=0;general_context=0,3,0,0,0
player_coverage:筒香 嘉智,aggregate,HIT,筒香 嘉智,canonical_x_rows=8;directional_rating=5;speed_specific_physical=1;general_context=1,8,5,1,1
player_coverage:蝦名 達夫,aggregate,SEARCHED_NO_HIT,蝦名 達夫,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:今宮 健太,aggregate,HIT,今宮 健太,canonical_x_rows=3;directional_rating=1;speed_specific_physical=0;general_context=1,3,1,0,1
player_coverage:周東 佑京,aggregate,HIT,周東 佑京,canonical_x_rows=6;directional_rating=5;speed_specific_physical=0;general_context=0,6,5,0,0
player_coverage:山川 穂高,aggregate,HIT,山川 穂高,canonical_x_rows=5;directional_rating=3;speed_specific_physical=0;general_context=0,5,3,0,0
player_coverage:柳田 悠岐,aggregate,HIT,柳田 悠岐,canonical_x_rows=7;directional_rating=4;speed_specific_physical=2;general_context=1,7,4,2,1
player_coverage:柳町 達,aggregate,HIT,柳町 達,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:栗原 陵矢,aggregate,SEARCHED_NO_HIT,栗原 陵矢,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:正木 智也,aggregate,HIT,正木 智也,canonical_x_rows=2;directional_rating=1;speed_specific_physical=1;general_context=0,2,1,1,0
player_coverage:海野 隆司,aggregate,SEARCHED_NO_HIT,海野 隆司,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:牧原 大成,aggregate,HIT,牧原 大成,canonical_x_rows=3;directional_rating=1;speed_specific_physical=0;general_context=0,3,1,0,0
player_coverage:近藤 健介,aggregate,HIT,近藤 健介,canonical_x_rows=5;directional_rating=3;speed_specific_physical=0;general_context=0,5,3,0,0
player_coverage:丸 佳浩,aggregate,HIT,丸 佳浩,canonical_x_rows=3;directional_rating=1;speed_specific_physical=0;general_context=2,3,1,0,2
player_coverage:佐々木 俊輔,aggregate,SEARCHED_NO_HIT,佐々木 俊輔,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:吉川 尚輝,aggregate,HIT,吉川 尚輝,canonical_x_rows=2;directional_rating=2;speed_specific_physical=0;general_context=0,2,2,0,0
player_coverage:大城 卓三,aggregate,HIT,大城 卓三,canonical_x_rows=2;directional_rating=2;speed_specific_physical=0;general_context=0,2,2,0,0
player_coverage:岸田 行倫,aggregate,SEARCHED_NO_HIT,岸田 行倫,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:松本 剛,aggregate,HIT,松本 剛,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:中野 拓夢,aggregate,HIT,中野 拓夢,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:伏見 寅威,aggregate,SEARCHED_NO_HIT,伏見 寅威,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:佐藤 輝明,aggregate,HIT,佐藤 輝明,canonical_x_rows=4;directional_rating=3;speed_specific_physical=0;general_context=0,4,3,0,0
player_coverage:坂本 誠志郎,aggregate,SEARCHED_NO_HIT,坂本 誠志郎,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:大山 悠輔,aggregate,HIT,大山 悠輔,canonical_x_rows=2;directional_rating=1;speed_specific_physical=0;general_context=0,2,1,0,0
player_coverage:小幡 竜平,aggregate,SEARCHED_NO_HIT,小幡 竜平,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:木浪 聖也,aggregate,HIT,木浪 聖也,canonical_x_rows=1;directional_rating=1;speed_specific_physical=0;general_context=0,1,1,0,0
player_coverage:梅野 隆太郎,aggregate,SEARCHED_NO_HIT,梅野 隆太郎,canonical_x_rows=0;directional_rating=0;speed_specific_physical=0;general_context=0,0,0,0,0
player_coverage:森下 翔太,aggregate,HIT,森下 翔太,canonical_x_rows=3;directional_rating=1;speed_specific_physical=0;general_context=0,3,1,0,0
