player,team,player_id,powerpro_match_status,powerpro_2026_speed,blind_v3_rating_unrounded,blind_v3_rating_rounded,final_freeze_rating,residual_a_rounded_blind_minus_powerpro,residual_b_final_freeze_minus_powerpro,npb_plus_top_speed_kmh,PA,full_effort_run_proxy_count,hp_to_1b_sec_current_npb_plus,primary_position,position_group,position_match_status,acceleration_subset_member,acceleration_classification,acceleration_classification_basis,npb_plus_exit_velo_max,npb_plus_hard_hit_pct,curated_historical_hp_to_1b_present
柳田 悠岐,福岡ソフトバンクホークス,31835133,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,67,70.014,70,70,3,3,32.1,333,20,4.16,LF,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,180.9,39.8,false
柳町 達,福岡ソフトバンクホークス,73175151,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,67,64.629,65,65,-2,-2,31.5,214,21,4.12,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,172.4,47.8,false
栗原 陵矢,福岡ソフトバンクホークス,01705130,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,59,62.834,63,63,4,4,31.3,439,40,4.25,3B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177.8,51.7,false
正木 智也,福岡ソフトバンクホークス,81885155,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,48,61.039,61,61,13,13,31.1,292,31,4.45,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,188.5,54,false
海野 隆司,福岡ソフトバンクホークス,81385151,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,52,53.859,54,54,2,2,30.3,228,25,4.48,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,169,21.2,false
牧原 大成,福岡ソフトバンクホークス,61465133,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,82,82.58,83,83,1,1,33.5,368,35,3.64,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,173,19.9,false
近藤 健介,福岡ソフトバンクホークス,41745135,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,64,61.937,62,62,-2,-2,31.2,417,37,4.37,LF,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,175.7,49.6,false
丸 佳浩,読売ジャイアンツ,21425116,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,65,63.732,64,64,-1,-1,31.4,82,8,4.3,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,166.2,39.6,false
佐々木 俊輔,読売ジャイアンツ,51955159,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,76,78.092,78,78,2,2,33,249,32,3.82,CF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,179.8,34.8,false
吉川 尚輝,読売ジャイアンツ,73375134,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,80,73.604,74,74,-6,-6,32.5,144,31,3.97,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,176.5,34.5,false
大城 卓三,読売ジャイアンツ,21325136,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,24,43.986,44,44,20,20,29.2,227,26,4.21,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177.8,35.6,false
岸田 行倫,読売ジャイアンツ,91595136,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,55,45.781,46,46,-9,-9,29.4,196,24,4.13,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177.2,27.9,false
松本 剛,読売ジャイアンツ,21625135,EXACT_TEAM_NORMALIZED_NAME_MATCH,69,63.732,64,64,-5,-5,31.4,290,34,3.9,CF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,172,16.1,false
中野 拓夢,阪神タイガース,41445153,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,75,77.195,77,77,2,2,32.9,407,62,3.74,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,176.1,19.2,false
伏見 寅威,阪神タイガース,61065137,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,40,43.089,43,43,3,3,29.1,105,9,4.54,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177,22.4,false
佐藤 輝明,阪神タイガース,41045153,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,68,70.014,70,70,2,2,32.1,420,49,4.2,3B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,187.2,58.1,false
坂本 誠志郎,阪神タイガース,11915132,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,56,52.962,53,53,-3,-3,30.2,194,17,4.61,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,172.7,27.3,false
大山 悠輔,阪神タイガース,21325134,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,58,55.654,56,56,-2,-2,30.5,402,26,4.5,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,180.2,36.8,false
小幡 竜平,阪神タイガース,31535138,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,77,76.297,76,76,-1,-1,32.8,104,11,3.85,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,167.5,20.3,false
木浪 聖也,阪神タイガース,31735138,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,59,51.166,51,51,-8,-8,30,134,18,4.25,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,175.7,23.1,false
梅野 隆太郎,阪神タイガース,21325139,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,57,56.552,57,57,0,0,30.6,71,6,4.38,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,165.8,21.7,false
森下 翔太,阪神タイガース,43145157,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,60,55.654,56,56,-4,-4,30.5,432,35,4.39,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,181.1,52.5,false
