order	player	team	pp	screening	final	strength	confidence	estimate_pct	range_low_pct	range_high_pct	physical_coverage	peak_share	human_directional_review	reason_code	rationale
61	太田 光	東北楽天ゴールデンイーグルス	44	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.265	0.005	0.695	0.328	0.8343714282417511	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
62	村林 一輝	東北楽天ゴールデンイーグルス	69	POWERPRO_TOO_LOW	POWERPRO_TOO_LOW	CURRENT_PEAK_PLUS_CONTEXT_SUPPORTED_CONCERN	MEDIUM	0.965	0.795	0.985	0.4273221594404618	0.9449575923860056	true	EXTREME_CURRENT_PEAK_WITH_POSITIVE_S_AND_GAME_CONTEXT	Current peak is extreme and adequately exposed, with S and game context in the same direction. Older nonpeak context is retained but weak and does not erase the current signal. PP69 warrants a medium-confidence low concern, not a final numerical rating.
63	浅村 栄斗	東北楽天ゴールデンイーグルス	35	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.105	0.005	0.565	0.4	0.7189208363467128	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
64	渡邊 佳明	東北楽天ゴールデンイーグルス	50	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.205	0.005	0.695	0.328	0.8943180312279013	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
65	鈴木 大地	東北楽天ゴールデンイーグルス	49	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.055	0.005	0.425	0.328	0.9676188855815399	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
66	京田 陽太	横浜DeNAベイスターズ	78	POWERPRO_TOO_HIGH_OR_STALE	POWERPRO_PLAUSIBLE	LOW_EXPOSURE_PEAK_COUNTERBALANCED_BY_SHORT_DISTANCE_CONTEXT	LOW	0.415	0.055	0.805	0.3689747312142322	0.8693007203011923	true	CURRENT_PEAK_UNDEREXPOSED_AND_50M_CONTEXT_SUPPORTS_HIGHER_PHYSICAL_PROFILE	Current peak is low-middle but based on few runs and may be understated; unknown-date 50m is fast and S/game are near neutral. PP78 is not exactly validated, but the prior TOO_HIGH screen was too peak-dominant.
67	佐野 恵太	横浜DeNAベイスターズ	48	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.175	0.005	0.605	0.4	0.7845711641990857	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
68	宮﨑 敏郎	横浜DeNAベイスターズ	33	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.145	0.005	0.575	0.4	0.8969530076500706	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
69	山本 祐大	横浜DeNAベイスターズ	61	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.345	0.015	0.795	0.328	0.9150684815914237	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
70	度会 隆輝	横浜DeNAベイスターズ	65	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.585	0.145	0.855	0.4	0.42817869426633093	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
71	林 琢真	横浜DeNAベイスターズ	82	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.685	0.205	0.915	0.43791986237030706	0.6291183715862456	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
72	梶原 昂希	横浜DeNAベイスターズ	90	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.845	0.425	0.985	0.475604642754917	0.8583843409819728	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
73	牧 秀悟	横浜DeNAベイスターズ		UNRESOLVED	UNRESOLVED	NO_CURRENT_POWERPRO_TARGET	HIGH	0.515	0.085	0.805	0.4	0.14341424468593045	false	NO_CURRENT_POWERPRO_TARGET	No current PowerPro comparison target exists. Physical evidence remains available for later SP-079 appraisal, but no PowerPro high/low verdict can be made.
74	筒香 嘉智	横浜DeNAベイスターズ	45	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.025	0.005	0.245	0.6842928669177453	0.4780464595074521	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
75	蝦名 達夫	横浜DeNAベイスターズ	75	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.565	0.135	0.815	0.4409747312142322	0.486046598197115	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
76	今宮 健太	福岡ソフトバンクホークス	66	POWERPRO_TOO_HIGH_OR_STALE	POWERPRO_TOO_HIGH_OR_STALE	PEAK_AND_CONTEXT_SUPPORTED_HIGH_CONCERN	MEDIUM	0.255	0.005	0.695	0.328	0.90363488810333	true	CURRENT_PEAK_S_AND_GAME_CONTEXT_ALL_LEAN_BELOW_PP66	Current peak is low and underexposed, while both S and game context also lean low. Absence of nonpeak direct evidence prevents a strong verdict, but multiple retained signals support a medium-confidence PP66-high concern.
77	周東 佑京	福岡ソフトバンクホークス	96	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	HIGH	0.995	0.985	0.995	0.9335465349231047	0.5482043161398528	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
78	山川 穂高	福岡ソフトバンクホークス	47	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.015	0.005	0.325	0.3469832737706663	0.7321266041695501	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
79	柳田 悠岐	福岡ソフトバンクホークス	67	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.635	0.155	0.895	0.4415809044346402	0.8677067288498372	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
80	柳町 達	福岡ソフトバンクホークス	67	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.505	0.075	0.845	0.3469832737706663	0.5121281889344977	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
81	栗原 陵矢	福岡ソフトバンクホークス	59	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.375	0.055	0.785	0.4189832737706663	0.6870760092065131	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
82	正木 智也	福岡ソフトバンクホークス	48	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.315	0.045	0.735	0.4189832737706663	0.7547959702823681	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
83	海野 隆司	福岡ソフトバンクホークス	52	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.225	0.005	0.695	0.328	0.9242105126693926	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
84	牧原 大成	福岡ソフトバンクホークス	82	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.975	0.825	0.985	0.5134892800998327	0.6372714775181146	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
85	近藤 健介	福岡ソフトバンクホークス	64	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.325	0.045	0.755	0.4	0.6492147705431044	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
86	丸 佳浩	読売ジャイアンツ		UNRESOLVED	UNRESOLVED	NO_CURRENT_POWERPRO_TARGET	HIGH	0.365	0.035	0.795	0.328	0.35709686102983185	false	NO_CURRENT_POWERPRO_TARGET	No current PowerPro comparison target exists. Physical evidence remains available for later SP-079 appraisal, but no PowerPro high/low verdict can be made.
87	佐々木 俊輔	読売ジャイアンツ	76	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.815	0.485	0.975	0.4	0.9160992508547261	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
88	吉川 尚輝	読売ジャイアンツ	80	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.755	0.315	0.935	0.5770254811400912	0.5358194566832825	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
89	大城 卓三	読売ジャイアンツ	24	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.005	0.005	0.265	0.4	0.9324542457380054	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
90	岸田 行倫	読売ジャイアンツ	55	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.065	0.005	0.515	0.328	0.9230993847825238	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
91	松本 剛	読売ジャイアンツ	69	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.485	0.105	0.795	0.5753052974108589	0.7211376013118644	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
92	中野 拓夢	阪神タイガース	75	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.875	0.615	0.985	0.4	0.6760429450522659	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
93	伏見 寅威	阪神タイガース	40	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.045	0.005	0.375	0.328	0.8747032854470899	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
94	佐藤 輝明	阪神タイガース	68	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.675	0.265	0.855	0.5054737012771279	0.8884935531348715	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
95	坂本 誠志郎	阪神タイガース	56	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.115	0.005	0.635	0.328	0.7557623339281696	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
96	大山 悠輔	阪神タイガース	58	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.125	0.005	0.565	0.4	0.7287837088227328	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
97	小幡 竜平	阪神タイガース	77	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.775	0.315	0.945	0.40859605994344594	0.8353460470591788	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
98	木浪 聖也	阪神タイガース	59	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.165	0.005	0.685	0.328	0.9652854834198424	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
99	梅野 隆太郎	阪神タイガース	57	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.275	0.005	0.755	0.328	0.9310067271218917	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
100	森下 翔太	阪神タイガース	60	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.235	0.005	0.675	0.4	0.9737917872134261	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
