player,player_id,team,powerpro_match_status,matched_powerpro_roster_name,powerpro_2026_speed,rounded_blind_v3_baseline,provisional_final_freeze,residual_a_top_speed_baseline_minus_powerpro,residual_b_provisional_freeze_minus_powerpro,abs_residual_a,abs_residual_b,high_discrepancy_residual_a,high_discrepancy_residual_b,high_discrepancy_any_residual,primary_high_discrepancy_residual,external_qa_label,physical_support_status,physical_basis,stage1_current_npb_plus_cohort_rank,stage1_current_npb_plus_band,stage1_acceleration_classification,stage1_anchor_relative_status,stage1_measurement_era,stage1_direct_t90_missingness,stage1_standardized_short_distance_missingness,exclusion_note
菊池 涼介,61565135,広島東洋カープ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,菊池,72,67,67,-5,-5,5,5,false,false,false,,,,,41,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
野間 峻祥,01405130,広島東洋カープ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,野間,88,66,66,-22,-22,22,22,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,47,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
サンタナ,53755153,東京ヤクルトスワローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,サンタナ,47,58,58,11,11,11,11,true,true,true,B,POWERPRO_LOW_BUT_PHYSICAL_CONFLICTED,CONFLICTED,TEMPORAL_CONSTRUCT_CONFLICT,71,B6_LOWER_MID_COHORT_OCTILE,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_RESOLVED_MODERATE,[2020],PRESENT,PRESENT,
並木 秀尊,91695153,東京ヤクルトスワローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,並木,97,85,85,-12,-12,12,12,true,true,true,B,POWERPRO_HIGH_AND_PHYSICAL_SUPPORTS_FASTER,SUPPORTS_FASTER_DIRECTION,STAGE1_CURRENT_NPB_PLUS_OUTER_FAST_QUARTILE_ORDINAL_ONLY,3,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[2022],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
中村 悠平,51255118,東京ヤクルトスワローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,中村悠,56,55,55,-1,-1,1,1,false,false,false,,,,,84,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
丸山 和郁,93195155,東京ヤクルトスワローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,丸山和,86,73,73,-13,-13,13,13,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,30,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2019],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
古賀 優大,01705134,東京ヤクルトスワローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,古賀,46,70,70,24,24,24,24,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,33,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
塩見 泰隆,71975136,東京ヤクルトスワローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,塩見,83,72,72,-11,-11,11,11,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,32,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[2018],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
岩田 幸宏,51355155,東京ヤクルトスワローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,岩田,96,83,83,-13,-13,13,13,true,true,true,B,POWERPRO_HIGH_AND_PHYSICAL_SUPPORTS_FASTER,SUPPORTS_FASTER_DIRECTION,STAGE1_CURRENT_NPB_PLUS_OUTER_FAST_QUARTILE_ORDINAL_ONLY,6,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
長岡 秀樹,51455151,東京ヤクルトスワローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,長岡,58,66,66,8,8,8,8,false,false,false,,,,,51,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
太田 光,71375138,東北楽天ゴールデンイーグルス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,太田,44,56,56,12,12,12,12,true,true,true,B,POWERPRO_LOW_AND_PHYSICAL_SUPPORTS_SLOWER,SUPPORTS_SLOWER_DIRECTION,STAGE1_CURRENT_NPB_PLUS_OUTER_SLOW_QUARTILE_ORDINAL_ONLY,80,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
村林 一輝,41845132,東北楽天ゴールデンイーグルス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,村林,69,92,92,23,23,23,23,true,true,true,B,POWERPRO_LOW_WITHOUT_PHYSICAL_SUPPORT,DIRECTIONALLY_NOT_SUPPORTED_BY_STAGE1_OUTER_QUARTILE,STAGE1_CURRENT_NPB_PLUS_OUTER_FAST_QUARTILE_ORDINAL_ONLY,2,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2015],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
浅村 栄斗,51155118,東北楽天ゴールデンイーグルス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,浅村,35,56,56,21,21,21,21,true,true,true,B,POWERPRO_LOW_AND_PHYSICAL_SUPPORTS_SLOWER,SUPPORTS_SLOWER_DIRECTION,STAGE1_CURRENT_NPB_PLUS_OUTER_SLOW_QUARTILE_ORDINAL_ONLY,81,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
渡邊 佳明,73175138,東北楽天ゴールデンイーグルス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,渡邊佳明,50,54,54,4,4,4,4,false,false,false,,,,,86,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
鈴木 大地,81985135,東北楽天ゴールデンイーグルス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,鈴木,49,42,42,-7,-7,7,7,false,false,false,,,,,100,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
京田 陽太,81585134,横浜DeNAベイスターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,京田,78,61,61,-17,-17,17,17,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,67,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2016],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
佐野 恵太,91995134,横浜DeNAベイスターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,佐野,48,57,57,9,9,9,9,false,false,false,,,,,78,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
宮﨑 敏郎,51455137,横浜DeNAベイスターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,宮﨑,33,54,54,21,21,21,21,true,true,true,B,POWERPRO_LOW_AND_PHYSICAL_SUPPORTS_SLOWER,SUPPORTS_SLOWER_DIRECTION,STAGE1_CURRENT_NPB_PLUS_OUTER_SLOW_QUARTILE_ORDINAL_ONLY,87,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
山本 祐大,23125136,横浜DeNAベイスターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,山本,61,60,60,-1,-1,1,1,false,false,false,,,,,69,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
度会 隆輝,33535159,横浜DeNAベイスターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,度会,65,66,66,1,1,1,1,false,false,false,,,,,48,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
林 琢真,91695157,横浜DeNAベイスターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,林,82,69,74,-13,-8,13,8,true,false,true,A,POWERPRO_HIGH_BUT_PHYSICAL_CONFLICTED,CONFLICTED,TEMPORAL_CONSTRUCT_CONFLICT,37,B3_UPPER_MID_COHORT_OCTILE,TEMPORAL_CONSTRUCT_CONFLICT,SNS_TIEBREAK,[2022],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,PRESENT,
梶原 昂希,51555155,横浜DeNAベイスターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,梶原,90,82,82,-8,-8,8,8,false,false,false,,,,,12,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
牧 秀悟,13115153,横浜DeNAベイスターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,牧,67,66,66,-1,-1,1,1,false,false,false,,,,,52,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
筒香 嘉智,41945131,横浜DeNAベイスターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,筒香,45,53,53,8,8,8,8,false,false,false,,,,,89,B8_SLOWEST_COHORT_OCTILE,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_RESOLVED_MODERATE,[2022],PRESENT,PRESENT,
蝦名 達夫,51555151,横浜DeNAベイスターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,蝦名,75,64,64,-11,-11,11,11,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,56,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2019],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
今宮 健太,31335131,福岡ソフトバンクホークス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,今宮,66,55,55,-11,-11,11,11,true,true,true,B,POWERPRO_HIGH_WITHOUT_PHYSICAL_SUPPORT,DIRECTIONALLY_NOT_SUPPORTED_BY_STAGE1_OUTER_QUARTILE,STAGE1_CURRENT_NPB_PLUS_OUTER_SLOW_QUARTILE_ORDINAL_ONLY,85,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
周東 佑京,21925136,福岡ソフトバンクホークス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,周東,96,96,96,0,0,0,0,false,false,false,,,,,1,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[2023,2017]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
山川 穂高,21425139,福岡ソフトバンクホークス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,山川,47,46,46,-1,-1,1,1,false,false,false,,,,,96,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
柳田 悠岐,31835133,福岡ソフトバンクホークス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,柳田,67,70,70,3,3,3,3,false,false,false,,,,,34,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2010],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
柳町 達,73175151,福岡ソフトバンクホークス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,柳町,67,65,65,-2,-2,2,2,false,false,false,,,,,54,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2016],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
栗原 陵矢,01705130,福岡ソフトバンクホークス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,栗原,59,63,63,4,4,4,4,false,false,false,,,,,61,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
正木 智也,81885155,福岡ソフトバンクホークス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,正木,48,61,61,13,13,13,13,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,68,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
海野 隆司,81385151,福岡ソフトバンクホークス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,海野,52,54,54,2,2,2,2,false,false,false,,,,,88,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
牧原 大成,61465133,福岡ソフトバンクホークス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,牧原大,82,83,83,1,1,1,1,false,false,false,,,,,8,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
近藤 健介,41745135,福岡ソフトバンクホークス,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,近藤,64,62,62,-2,-2,2,2,false,false,false,,,,,64,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
丸 佳浩,21425116,読売ジャイアンツ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,丸,65,64,64,-1,-1,1,1,false,false,false,,,,,57,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
佐々木 俊輔,51955159,読売ジャイアンツ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,佐々木,76,78,78,2,2,2,2,false,false,false,,,,,16,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
吉川 尚輝,73375134,読売ジャイアンツ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,吉川尚,80,74,74,-6,-6,6,6,false,false,false,,,,,27,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2016],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
大城 卓三,21325136,読売ジャイアンツ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,大城,24,44,44,20,20,20,20,true,true,true,B,POWERPRO_LOW_AND_PHYSICAL_SUPPORTS_SLOWER,SUPPORTS_SLOWER_DIRECTION,STAGE1_CURRENT_NPB_PLUS_OUTER_SLOW_QUARTILE_ORDINAL_ONLY,98,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
岸田 行倫,91595136,読売ジャイアンツ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,岸田,55,46,46,-9,-9,9,9,false,false,false,,,,,97,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
松本 剛,21625135,読売ジャイアンツ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,松本剛,69,64,64,-5,-5,5,5,false,false,false,,,,,58,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
中野 拓夢,41445153,阪神タイガース,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,中野,75,77,77,2,2,2,2,false,false,false,,,,,18,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
伏見 寅威,61065137,阪神タイガース,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,伏見,40,43,43,3,3,3,3,false,false,false,,,,,99,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
佐藤 輝明,41045153,阪神タイガース,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,佐藤輝,68,70,70,2,2,2,2,false,false,false,,,,,35,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[2020,""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
坂本 誠志郎,11915132,阪神タイガース,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,坂本,56,53,53,-3,-3,3,3,false,false,false,,,,,90,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
大山 悠輔,21325134,阪神タイガース,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,大山,58,56,56,-2,-2,2,2,false,false,false,,,,,82,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
小幡 竜平,31535138,阪神タイガース,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,小幡,77,76,76,-1,-1,1,1,false,false,false,,,,,19,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2018],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
木浪 聖也,31735138,阪神タイガース,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,木浪,59,51,51,-8,-8,8,8,false,false,false,,,,,92,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
梅野 隆太郎,21325139,阪神タイガース,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,梅野,57,57,57,0,0,0,0,false,false,false,,,,,79,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
森下 翔太,43145157,阪神タイガース,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,森下,60,56,56,-4,-4,4,4,false,false,false,,,,,83,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
