event_id	event_date_start	event_date_end	retrieved_at	region	country	league	organization	competition	topic_family	subtopic	headline_or_event_name	fact_summary	primary_source_url	secondary_source_urls	source_authority	verification_status	historical_or_current	mechanism_revealed	potential_game_system	existing_requirement_ids	novelty_status	materiality	recurrence_class	player_frustration_risk	suggested_default_or_toggle	implementation_complexity	research_confidence	notes	wave	topic_family_codes	wave1_relation	corrected_existing_requirement_ids	semantic_mapping_status
PNN-030	2018-03-01	2018-03-01	2026-08-24	Latin America	Mexico	MLB/LMB	MLB; Mexican League	Transfer agreement	Transactions	Qualified Mexican League player transfer	MLB and the Mexican League announced a player-transfer agreement with age and professional-service conditions	A league-to-league agreement can provide a defined route for qualified players to sign in MLB.	https://www.mlb.com/press-release/mlb-mexican-baseball-league-agree-on-player-transfers	https://lmb.com.mx/noticias/cambios-en-reglas-para-la-temporada-2024	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Cross-league eligibility can be formalized with thresholds rather than ad hoc negotiation.	transfer agreement/eligibility/service time	PW-168;PW-169;PW-171;PW-172	ALREADY_COVERED	MEDIUM	CONDITIONAL_RECURRING	MEDIUM	TOGGLE	MEDIUM	HIGH	Known international-market domain.	WAVE1_BASELINE	C;O	RETAINED_BASELINE	PW-168;PW-172;PW-173;PW-240	CORRECTED
PNN-031	2024-01-01	2024-12-31	2026-08-24	Latin America	Mexico	LMB	Mexican League	Rule changes	League governance	2024 LMB rule changes	The Mexican League published rule changes affecting competition and roster/game operations	League rule adjustments can be tested or adopted locally without being identical to MLB or NPB.	https://lmb.com.mx/noticias/cambios-en-reglas-para-la-temporada-2024	https://www.milb.com/news/lmb-cambios-en-reglas-para-la-temporada-2024	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	Multiple leagues can diverge in rule timing, producing different player incentives and statistics.	league rule variation/era comparison	PW-190;PW-191;PW-193;PW-213	PARTIAL_EXTENSION	MEDIUM	RECURRING	MEDIUM	TOGGLE	MEDIUM	MEDIUM	Specific changes are not generalized beyond the documented rule family.	WAVE1_BASELINE	A;D	RETAINED_BASELINE	PW-190;PW-191;PW-193;PW-213;PW-214	CORRECTED
PNN-032	2024-01-01	2024-02-01	2026-08-24	Caribbean	Cuba	Independent tournament	FEPCUBE	International competition	Governance	Independent Cuban team tournament canceled	AP reported that a proposed independent Cuban team tournament was canceled after pressure and logistical controversy	The case is retained as a low-confidence example of a contested route outside the established federation system.	https://apnews.com/article/ecd17ce8baccdcf6efbc5d080c7af6ff	-	SECONDARY_ONLY	INSUFFICIENT_EVIDENCE	HISTORICAL	An alternative competition route can fail before it becomes a stable player pathway.	independent competition/access gate	PW-168;PW-181;PW-182	INSUFFICIENT_EVIDENCE	LOW	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	EVIDENCE_ONLY	MEDIUM	LOW	Not used for a candidate; retain only as a bounded blind spot.	WAVE1_BASELINE	L;N;O;P	RETAINED_BASELINE	PW-168;PW-181;PW-182	RETAINED
PNN-033	2024-01-01	2024-12-31	2026-08-24	Europe	Europe	WBSC Europe	WBSC Europe	Champions League Europe	Competition structure	Promotion and relegation	WBSC Europe competition documents connect Champions League Europe with lower cups and movement	The competition structure creates a tiered path with promotion/relegation rather than a closed single league.	https://static.wbsc.org/uploads/federations/278/cms/documents/30474e8e-3ac7-f1d6-ee6a-08065ba10eeb.pdf	https://static.wbsc.org/uploads/federations/0/cms/documents/80d35403-60ff-f021-4f4a-3e61cabf4dbd.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	International club competition can use tier movement to build a regional ecosystem.	promotion/relegation/international club market	PW-179;PW-180;PW-181	PARTIAL_EXTENSION	MEDIUM	RECURRING	MEDIUM	TOGGLE	HIGH	HIGH	Specific European structure is evidence for an abstract tier mechanism.	WAVE1_BASELINE	D;N;Q	RETAINED_BASELINE	PW-168;PW-174;PW-175;PW-178;PW-179;PW-180;PW-181;PW-203	CORRECTED
PNN-034	2024-01-01	2024-12-31	2026-08-24	Africa	Africa	WBSC	WBSC; African federations	Development program	Global development	Targeted development funding	WBSC’s development report describes funding and support for African qualifiers and competitions	Regional support can change the feasibility of competition and player development before a mature professional market exists.	https://static.wbsc.org/uploads/federations/0/cms/documents/80d35403-60ff-f021-4f4a-3e61cabf4dbd.pdf	https://static.wbsc.org/uploads/federations/282/cms/documents/b12a4a98-73b9-9f27-689f-ab029d1e2ef1.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Development funding is an external input that can create or sustain a regional baseball pipeline.	development funding/global pipeline	PW-179;PW-180;PW-185	PARTIAL_EXTENSION	MEDIUM	CONDITIONAL_RECURRING	LOW	OWNER_CALIBRATION	MEDIUM	HIGH	No national quality ranking inferred.	WAVE1_BASELINE	N;Q	RETAINED_BASELINE	PW-174;PW-175;PW-176;PW-177;PW-179;PW-180	CORRECTED
PNN-035	2023-01-01	2023-12-31	2026-08-24	Oceania	Fiji/Japan	WBSC Oceania	Fiji Baseball; Japanese universities	Development exchange	Global development	Fiji–Japan exchange and Oceania network	WBSC Oceania reporting describes exchange, clinics, Baseball5, and regional qualification/development networks	An exchange can transfer coaching and participation capacity across a small federation network.	https://static.wbsc.org/uploads/federations/282/cms/documents/b12a4a98-73b9-9f27-689f-ab029d1e2ef1.pdf	https://static.wbsc.org/uploads/federations/282/cms/documents/102a51ba-e5a3-2847-6176-4c0c26166286.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Networked development can be modeled as relationship and knowledge capital, not only player ratings.	academy/exchange/knowledge capital	PW-145;PW-157;PW-179;PW-185	PARTIAL_EXTENSION	MEDIUM	RECURRING	LOW	TOGGLE	MEDIUM	HIGH	Small-sample reports; mechanism only.	WAVE1_BASELINE	E;F;G;N	RETAINED_BASELINE	PW-145;PW-155;PW-156;PW-157;PW-168;PW-175;PW-177;PW-179	CORRECTED
PNN-036	2024-08-01	2024-08-04	2026-08-24	Oceania	Guam/New Zealand	WBSC Oceania	Guam Baseball; NZ Baseball	U-15 qualifier	Calendar and weather	Weather-shortened series	A WBSC notice says weather changed a planned best-of-five into best-of-three and Guam qualified	Weather can alter format, schedule, and advancement without changing player ability.	https://www.wbsc.org/en/events/2024-vi-u15-baseball-world-cup/news/guam-confirmed-as-oceania-u-15-champions-qualify-for-vi-u15-baseball-world-cup	-	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Environmental conditions can cause bounded rescheduling and format changes.	weather/fixture/calendar/qualification	PW-181;PW-182;PW-190	PARTIAL_EXTENSION	MEDIUM	CONDITIONAL_RECURRING	MEDIUM	DEFAULT_RARE	MEDIUM	HIGH	Supports OPEN-10 and OPEN-11, not a new weather system.	WAVE1_BASELINE	A;P;Q	RETAINED_BASELINE	PW-181;PW-182;PW-190	RETAINED
PNN-037	2020-12-01	2021-01-31	2026-08-24	Oceania	Australia	ABL	Baseball Australia; ABL	ABL season	Calendar and business	COVID cancellation and playoff redesign	Baseball Australia changed the ABL schedule/playoff format and later had a lost season during COVID disruption	A league can change format, extend or cancel a season, and resume with altered calendar assumptions.	https://baseball.com.au/news/playoff-format-revealed-season-extended/	https://baseball.com.au/the-claxton-shield/;https://baseball.com.au/events/2020-australian-senior-league-championship/	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	External shocks can alter competition continuity, revenue, and player contracts.	calendar/shock/rescheduling/league continuity	PW-181;PW-182;PW-247	ALREADY_COVERED	HIGH	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	DEFAULT_RARE	HIGH	HIGH	Explicit OPEN-10/13/20 overlap.	WAVE1_BASELINE	K;P;Q	RETAINED_BASELINE	PW-181;PW-182;PW-247	RETAINED
PNN-038	2023-03-08	2023-03-21	2026-08-24	Global	Multiple	World Baseball Classic	MLB; WBSC; national federations	WBC	International competition	Attendance and visibility spike	MLB reported first-round WBC attendance above one million and major increases over 2017	A tournament can produce a temporary cross-country visibility and relationship signal without becoming a club payroll rule.	https://www.mlb.com/amp/press-release/press-release-2023-world-baseball-classic-first-round-sets-records-in-attendance.html	https://www.baseballjapan.org/system/prog/news.php?i=1914&l=e	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	International events create attention and selection value that can feed back into reputation and market demand.	tournament visibility/national-team/reputation	PW-181;PW-182;PW-183;PW-184;PW-185;PW-243;PW-257	ALREADY_COVERED	HIGH	RECURRING	MEDIUM	TOGGLE	MEDIUM	HIGH	No claim that attendance equals permanent globalization.	WAVE1_BASELINE	K;P	RETAINED_BASELINE	PW-181;PW-182;PW-183;PW-184;PW-185;PW-243;PW-257	RETAINED
PNN-039	2021-07-23	2021-08-07	2026-08-24	Global	Japan	Olympics	NPB; WBSC; IOC	Tokyo 2020	International competition	League-season interaction	Tokyo Olympics required NPB season interaction and produced new baseball participant outcomes	WBSC facts document NPB schedule interaction, six-team competition, debuts, and Japan’s first Olympic baseball gold	https://static.wbsc.org/assets/cms/documents/c60a0c6b-29e6-2df2-d395-074f32dcaee2.pdf	https://www.baseballjapan.org/system/prog/news.php?i=1914&l=e	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A tournament can create workload, schedule, roster-release, and national-legacy effects simultaneously.	tournament load/schedule/national legacy	PW-181;PW-182;PW-183;PW-185;PW-186;PW-243	ALREADY_COVERED	HIGH	RECURRING	HIGH_IF_AUTOMATIC	TOGGLE	HIGH	HIGH	Olympic facts are historical; future qualification remains separate. Source URL normalized to https in the Wave 2 merged index; Wave 1 raw baseline is unchanged.	WAVE1_BASELINE	D;P	RETAINED_BASELINE_SOURCE_URL_NORMALIZED	PW-181;PW-182;PW-183;PW-185;PW-186;PW-243	RETAINED
PNN-040	2024-11-09	2024-11-24	2026-08-24	Global	Multiple	WBSC Premier12	WBSC; national federations	Premier12	International competition	Professional-national team bridge	Premier12 provides a senior international event connecting professional players, national teams, and federation ranking	The official team/event pages show the tournament as a distinct global competition layer.	https://www.wbsc.org/en/events/2024-premier12/teams/28962	https://www.baseballjapan.org/system/prog/news.php?i=1914&l=e	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	International competition can have different roster, timing, and meaning from the WBC or Olympics.	tournament calendar/load/relationship carryover	PW-181;PW-182;PW-184;PW-185;PW-243	ALREADY_COVERED	MEDIUM	RECURRING	MEDIUM	TOGGLE	MEDIUM	HIGH	Existing international toggle remains authoritative.	WAVE1_BASELINE	D;P	RETAINED_BASELINE	PW-181;PW-182;PW-183;PW-184;PW-185;PW-243	CORRECTED
PNN-041	2023-10-16	2023-10-16	2026-08-24	Global	United States	Olympics	IOC; MLB; WBSC	LA 2028	International competition	Olympic return	MLB reported baseball and softball will return to the 2028 Olympics	The Olympic calendar can return after absence, creating a future tournament-load and qualification state.	https://www.mlb.com/news/baseball-softball-returning-to-2028-olympics	https://www.wbsc.org/en/events/2024-premier12/teams/28962	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Tournament availability itself is a schedule/configuration variable over eras.	tournament availability/qualification	PW-181;PW-182;PW-185;PW-186	ALREADY_COVERED	MEDIUM	CONDITIONAL_RECURRING	MEDIUM	TOGGLE	MEDIUM	HIGH	Evidence for existing toggleable tournament design.	WAVE1_BASELINE	D;P;Q	RETAINED_BASELINE	PW-181;PW-182;PW-185;PW-186	RETAINED
PNN-042	2026-03-05	2026-03-17	2026-08-24	Global	Multiple	World Baseball Classic	MLB; WBSC; national federations	2026 WBC	International competition	Viewership	2026 WBC final viewership report	MLB reported a large global audience for the 2026 WBC final, a current visibility signal for the international layer; the event is recorded as current as of the research date and separated from the 2023 attendance result.	https://www.mlb.com/news/2026-world-baseball-classic-final-viewership-numbers	https://www.mlb.com/amp/press-release/press-release-2023-world-baseball-classic-first-round-sets-records-in-attendance.html	PRIMARY_OFFICIAL	CURRENT_STATUS_CHECK	CURRENT_AS_OF_2026	International visibility can be volatile and should not be treated as a permanent market coefficient.	tournament visibility/media/reputation	PW-181;PW-183;PW-184;PW-243	ALREADY_COVERED	MEDIUM	RECURRING	MEDIUM	TOGGLE	MEDIUM	HIGH	Date and figures should be rechecked if the research date changes.	WAVE1_BASELINE	K;P	RETAINED_BASELINE	PW-181;PW-182;PW-183;PW-184;PW-243	CORRECTED
PNN-043	2023-03-30	2023-03-30	2026-08-24	East Asia	Japan	NPB	Hokkaido Nippon-Ham Fighters	ES CON Field	Business and stadium	Relocation and village	Fighters open ES CON Field and a surrounding village	Official Fighters and corporate material describe the new ballpark and an integrated business/tourism/community model after relocation; the club’s revenue model includes ticketing, merchandise, food and beverage, broadcast, sponsorship, and wider village activity.	https://www.fighters.co.jp/expansion/mail/2023/03/0330/index.html	https://www.nipponham.co.jp/eng/ir/library/annual/pdf/2023_annual/annual2023all_e.pdf;https://www.fighters.co.jp/news/detail/202300430685.html	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	Stadium investment changes club identity, local demand, costs, and non-win revenue.	stadium/attendance/local market/business	PW-141;PW-142;PW-143;PW-144;PW-165;PW-247	PARTIAL_EXTENSION	HIGH	RARE_SYSTEMIC	MEDIUM	OWNER_CALIBRATION	HIGH	HIGH	Business model is reported by the owner; causality remains a design question.	WAVE1_BASELINE	K;Q	RETAINED_BASELINE	PW-141;PW-143;PW-144;PW-204;PW-247	CORRECTED
PNN-044	2023-01-01	2023-12-31	2026-08-24	East Asia	Japan	NPB	NPB	Attendance	Business and media	League attendance signal	NPB publishes official 2023 attendance statistics	Attendance provides a public demand signal but is not identical to profit, local identity, or competitive quality.	https://npb.jp/statistics/2023/attendance.html	https://www.nipponham.co.jp/eng/ir/library/annual/pdf/2025_annual/annual2025all_e.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Demand and reputation can be tracked separately from wins and payroll.	attendance/popularity/media/business	PW-141;PW-142;PW-143;PW-165;PW-247	ALREADY_COVERED	MEDIUM	RECURRING	LOW	DEFAULT	LOW	HIGH	Evidence only; no linear attendance formula added.	WAVE1_BASELINE	K	RETAINED_BASELINE	PW-141;PW-143;PW-247	CORRECTED
PNN-045	2023-02-15	2024-03-01	2026-08-24	North America	United States	MLB	Diamond Sports; MLB clubs	Media rights	Business and media	Regional sports network bankruptcy	Diamond Sports entered bankruptcy/reorganization, putting local sports-media distribution and payments under pressure	The failure creates a club/league revenue and visibility shock independent of on-field results.	https://www.apnews.com/article/2fecf6ba41a7d9994a15c8584858589d	https://www.mlb.com/press-release/press-release-mlb-to-produce-distribute-arizona-diamondbacks-games-july-18-2023	SECONDARY_WITH_PRIMARY_CONTEXT	SECONDARY_CONFIRMED	HISTORICAL	Media-rights insolvency can change club resources and fan access midstream.	media rights/revenue shock/local distribution	PW-141;PW-143;PW-144;PW-247	PARTIAL_EXTENSION	HIGH	RARE_SYSTEMIC	MEDIUM	OWNER_CALIBRATION	HIGH	MEDIUM	AP is used for bankruptcy context; MLB release provides response.	WAVE1_BASELINE	K;Q	RETAINED_BASELINE	PW-141;PW-143;PW-144;PW-247	RETAINED
PNN-046	2023-07-18	2023-07-18	2026-08-24	North America	United States	MLB	MLB; Arizona Diamondbacks	Media production	Business and media	League produces local games after network failure	MLB announced production/distribution of Diamondbacks games after local network disruption	A league can become a temporary media operator to preserve access and revenue continuity.	https://www.mlb.com/press-release/press-release-mlb-to-produce-distribute-arizona-diamondbacks-games-july-18-2023	https://www.apnews.com/article/2fecf6ba41a7d9994a15c8584858589d	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Institutional fallback capacity can prevent a media shock from becoming a total schedule/visibility collapse.	media fallback/league operations/revenue	PW-141;PW-143;PW-144;PW-247	PARTIAL_EXTENSION	HIGH	CONDITIONAL_RECURRING	MEDIUM	OWNER_CALIBRATION	HIGH	HIGH	Strong partial candidate input; implementation should stay abstract.	WAVE1_BASELINE	K;Q	RETAINED_BASELINE	PW-141;PW-143;PW-144;PW-247	RETAINED
PNN-047	2023-12-09	2023-12-09	2026-08-24	North America	United States	MLB	Los Angeles Dodgers; Shohei Ohtani	Free agency	Contracts	Deferred mega-contract	Ohtani signs a ten-year $700 million contract with large deferrals	MLB reporting describes a contract whose payment timing materially differs from headline value, affecting payroll accounting and future flexibility.	https://www.mlb.com/news/angels-decline-to-discuss-negotiations-with-shohei-ohtani	https://www.mlb.com/news/shohei-ohtani-dodgers-deal-deferrals-explained	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	Nominal contract value, cash timing, payroll accounting, and competitive windows can diverge.	contract deferral/payroll/window	PW-108;PW-111;PW-112;PW-121;PW-123;PW-142	PARTIAL_EXTENSION	HIGH	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	HIGH	Use generalized contract timing only; do not hardcode a named person.	WAVE1_BASELINE	C;K	RETAINED_BASELINE	PW-129;PW-138;PW-139;PW-140;PW-141;PW-247;PW-253;PW-254;PW-259	CORRECTED
PNN-048	2024-02-14	2024-02-14	2026-08-24	North America	United States	MLB	Los Angeles Dodgers; Shohei Ohtani	Contract clause	Contracts	Personnel-linked opt-out report	AP reported a reported opt-out condition linked to future ownership/personnel decisions	The report is treated as secondary and illustrates that contract clauses can encode governance contingencies, not just salary and years.	https://apnews.com/article/3fe44e39efc42674f75b5233cc01b149	https://www.mlb.com/news/mlb-offseason-dates-rules-and-terms	SECONDARY_ONLY	SECONDARY_CONFIRMED	HISTORICAL	A contract can condition player control on club governance or personnel states.	contract clause/owner/personnel/opt-out	PW-108;PW-111;PW-112;PW-124	PARTIAL_EXTENSION	MEDIUM	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	MEDIUM	Do not treat the reported clause as a universal contract template.	WAVE1_BASELINE	C;L;K	RETAINED_BASELINE	PW-129;PW-130;PW-131;PW-132;PW-133;PW-134;PW-135;PW-253;PW-254;PW-259	CORRECTED
PNN-049	2018-11-19	2018-11-19	2026-08-24	East Asia/North America	Japan/United States	NPB/MLB	NPB; MLB	Posting system	Transactions	Current Japanese posting mechanics	MLB’s transaction glossary describes the modern Japanese posting path, release fee formula, and negotiation period	The modern system demonstrates that the same cross-league path can be revised over time while preserving a gated transfer mechanism.	https://www.mlb.com/glossary/transactions/japanese-posting-system?lid=6p0p2xmvne0y	https://www.mlb.com/news/mlb-npb-reach-agreement-on-posting-system/c-66013956	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Transfer rules are era-sensitive and can change club/player bargaining power.	posting/fee formula/negotiation clock	PW-103;PW-104;PW-169;PW-172;PW-236;PW-242	ALREADY_COVERED	HIGH	CONDITIONAL_RECURRING	HIGH_IF_AUTOMATIC	TOGGLE	MEDIUM	HIGH	Duplicate mechanism across eras is intentionally not a new candidate.	WAVE1_BASELINE	C;O	RETAINED_BASELINE	PW-103;PW-104;PW-133;PW-134;PW-135;PW-168;PW-172;PW-173;PW-242	CORRECTED
PNN-050	2024-10-01	2024-10-31	2026-08-24	North America	United States	MLB	MLB; MLBPA; clubs	Contracts	Contracts	Options, opt-outs, and club/player control	MLB’s offseason rules explain player, club, mutual, and vesting options plus opt-out structures	Contract control can change at milestones rather than at one signing date.	https://www.mlb.com/news/mlb-offseason-dates-rules-and-terms	https://www.mlbplayers.com/resources/major-league-cba	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	CURRENT	Contract clauses create branching career states and negotiation timing.	contract options/opt-outs/vesting	PW-108;PW-109;PW-110;PW-111;PW-112;PW-114	ALREADY_COVERED	HIGH	RECURRING	MEDIUM	OWNER_CALIBRATION	MEDIUM	HIGH	Evidence for existing contract-clause system.	WAVE1_BASELINE	C	RETAINED_BASELINE	PW-129;PW-130;PW-131;PW-132;PW-133;PW-134;PW-135;PW-136;PW-137;PW-138;PW-139;PW-140;PW-253;PW-254	CORRECTED
PNN-051	1919-09-01	1919-10-09	2026-08-24	North America	United States	MLB	Chicago White Sox; MLB	World Series	Integrity	Black Sox sanctions	MLB historical material records the 1919 World Series scandal and lifetime suspensions	The case shows that formal discipline and reputational legacy can persist even when legal outcomes differ.	https://www.mlb.com/news/1919-world-series-recap	https://www.baseball-reference.com/bullpen/Black_Sox_Scandal	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	Integrity sanctions can alter careers, records, and legacy permanently.	integrity/sanction/legacy	PW-201;PW-202;PW-203;PW-209;PW-213;PW-215	ALREADY_COVERED	HIGH	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	DEFAULT_RARE	HIGH	HIGH	No named allegation beyond the established historical case.	WAVE1_BASELINE	M;Q	RETAINED_BASELINE	PW-205;PW-207;PW-208;PW-209;PW-210;PW-213;PW-214;PW-215;PW-216	CORRECTED
PNN-052	1969-01-01	1971-12-31	2026-08-24	East Asia	Japan	NPB	NPB clubs	Black Mist	Integrity	Permanent ineligibility and sanctions	NPB history records the Black Mist period and permanent ineligibility for game-fixing	The official Pacific League history provides a primary historical anchor for integrity enforcement.	https://npb.jp/pl/history.html	https://www.baseball-reference.com/bullpen/Black_Mist_Scandal	PRIMARY_PLUS_SECONDARY	VERIFIED_PRIMARY	HISTORICAL	Integrity events can trigger league-wide trust repair and permanent career consequences.	integrity/sanction/league trust	PW-201;PW-202;PW-203;PW-209;PW-215	ALREADY_COVERED	HIGH	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	DEFAULT_RARE	HIGH	HIGH	Historical research seed already present in owner examples.	WAVE1_BASELINE	M;Q	RETAINED_BASELINE	PW-205;PW-207;PW-208;PW-209;PW-210;PW-213;PW-214;PW-215;PW-216	CORRECTED
PNN-053	2016-03-15	2016-03-15	2026-08-24	East Asia	Japan	NPB	NPB; Giants	Integrity	Gambling response	League-wide investigation	NPB gambling/ring-call investigation and ban	NPB’s official statement describes investigations across clubs and a ban on money exchange connected to gambling concerns; the response shows coordinated integrity governance rather than only individual punishment.	https://npb.jp/npb/20160315release.html	https://content.mlb.com/documents/2/4/6/310213246/MLB_Policy_on_Sports_Betting_2019.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Integrity response can involve league-wide investigation, rules, and institutional communication.	integrity investigation/policy/reputation	PW-201;PW-205;PW-209;PW-211	ALREADY_COVERED	HIGH	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	DEFAULT_RARE	HIGH	HIGH	No additional allegation inferred.	WAVE1_BASELINE	L;M	RETAINED_BASELINE	PW-205;PW-207;PW-208;PW-209;PW-211;PW-212	CORRECTED
PNN-054	2017-01-01	2017-12-31	2026-08-24	North America	United States	MLB	Houston Astros; MLB	Sign stealing	Integrity	Technology-assisted rule exploit	MLB investigation resulted in discipline for Astros leadership over sign stealing	Official MLB reporting records suspensions and an investigation into an institutional sign-stealing scheme.	https://www.mlb.com/news/astros-sign-stealing-penalty	https://content.mlb.com/documents/8/2/2/296982822/Major_League_Rule_21.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Information advantage can become an exploit, followed by investigation, sanctions, and rule response.	scouting fog/exploit detection/integrity	PW-201;PW-205;PW-206;PW-208;PW-211	ALREADY_COVERED	HIGH	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	DEFAULT_RARE	HIGH	HIGH	Avoid unsupported wearable-device claims.	WAVE1_BASELINE	F;H;M	RETAINED_BASELINE	PW-205;PW-206;PW-207;PW-208;PW-209;PW-211;PW-212	CORRECTED
PNN-055	2024-06-04	2024-06-04	2026-08-24	North America	United States	MLB	MLB players and clubs	Sports betting	Integrity	Betting suspensions	MLB announced a permanent ineligibility and four one-year suspensions for betting violations	The official release demonstrates differentiated sanctions and an investigation process under current betting rules.	https://www.mlb.com/news/mlb-announces-sports-betting-violation-suspensions	https://content.mlb.com/documents/8/2/2/296982822/Major_League_Rule_21.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Sanction severity and evidence can vary by conduct, access, and rule category.	integrity/sanction/calibration	PW-201;PW-202;PW-205;PW-209;PW-211	ALREADY_COVERED	HIGH	RECURRING	HIGH_IF_AUTOMATIC	DEFAULT_RARE	HIGH	HIGH	No extrapolation to real players beyond official release.	WAVE1_BASELINE	M	RETAINED_BASELINE	PW-205;PW-207;PW-208;PW-209;PW-210;PW-211;PW-212	CORRECTED
PNN-056	2024-02-01	2024-02-01	2026-08-24	North America	United States	MLB	MLB umpires	Umpire integrity	Integrity	Umpire gambling-policy investigation	MLB announced discipline after an investigation into an umpire’s gambling-policy issues	The event extends integrity governance beyond players to officials and officiating trust.	https://www.mlb.com/mets/news/mlb-umpire-pat-hoberg-disciplined	https://content.mlb.com/documents/8/2/2/296982822/Major_League_Rule_21.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Integrity controls must cover officials and information access, not only player conduct.	officiating integrity/league trust	PW-201;PW-205;PW-209;PW-211	PARTIAL_EXTENSION	MEDIUM	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	DEFAULT_RARE	MEDIUM	HIGH	Partial because official-integrity coverage is less explicit than player discipline.	WAVE1_BASELINE	A;M	RETAINED_BASELINE	PW-205;PW-207;PW-208;PW-209;PW-211;PW-212	CORRECTED
PNN-057	1997-01-01	2000-12-31	2026-08-24	East Asia	Taiwan	CPBL	CPBL	Match fixing	Integrity	CPBL match-fixing historical watch item	Secondary historical materials describe match-fixing episodes in CPBL history, but a primary official case file was not obtained in this pass	Retained only to document a research blind spot; it is not used to infer named allegations or a candidate.	https://en.wikipedia.org/wiki/Chinese_Professional_Baseball_League	https://intapi.sciendo.com/pdf/10.2478/v10141-012-0016-1	SECONDARY_ONLY	INSUFFICIENT_EVIDENCE	HISTORICAL	A league integrity history may require source-authority escalation before modeling.	integrity/source authority	PW-201;PW-205;PW-209	INSUFFICIENT_EVIDENCE	LOW	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	EVIDENCE_ONLY	MEDIUM	LOW	Explicitly excluded from candidate synthesis.	WAVE1_BASELINE	M	RETAINED_BASELINE	PW-205;PW-207;PW-208;PW-209	CORRECTED
PNN-058	1975-12-01	1976-04-10	2026-08-24	North America	United States	MLB	Andy Messersmith; MLBPA; MLB	Free agency	Labor and history	Reserve-clause challenge and free agency	MLB historical material identifies the Messersmith case and first free-agent contract after the reserve-clause challenge	A labor ruling can permanently alter player mobility, bargaining power, and league economics.	https://www.mlb.com/news/april-10-1976-andy-messersmith-signs-the-first-contract-of-baseball-s-free-agenc	https://www.mlb.com/official-information/about-mlb/commissioners/bowie-kuhn	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A labor precedent can change the state space of every future contract.	free agency/labor precedent/player mobility	PW-121;PW-122;PW-123;PW-124;PW-168;PW-169	ALREADY_COVERED	HIGH	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	DEFAULT	HIGH	HIGH	Historical evidence for existing labor engine.	WAVE1_BASELINE	C;L;Q	RETAINED_BASELINE	PW-188;PW-189;PW-129;PW-139;PW-168	CORRECTED
